Nazwa_handlowa,Angielska_nazwa,Inter_substancja_aktywna,Inter_produkty_spozywcze,Skutek_uboczny,Zalecenia,interakcje z dzialaniami,Interakcje,Strona,Substancja_aktywna,Wskazania,,,,,,,,,,,,,,,,,,,,,,,,,,Wskazania,Choroby
Abakawir,Abacavir,etanol,alkohol,,,,"Metabolizm abakawiru ulega zmianie w czasie jednoczesnego przyjmowania alkoholu (AUC substancji wzrasta o okoÅ‚o 41%). JednakÅ¼e obserwacje te nie zostaÅ‚y uznane za kliniczne istotne. Abakawir natomiast nie ma wpÅ‚ywu na metabolizm alkoholu.
W kontrolowanych badaniach klinicznych niezbyt czÄ™sto wystÄ™powaÅ‚y nieprawidÅ‚owe wyniki badaÅ„ laboratoryjnych. Nie wykazano rÃ³Å¼niÄ‡ w czÄ™stoÅ›ci ich wystÄ™powania pomiÄ™dzy grupÄ… leczonÄ… abakawirem, a grupÄ… kontrolnÄ….Â 
",https://www.doz.pl//leki/w1-Abakawir,"abakawir, siarczan abakawiru",Abakawir jest lekiem przeciwwirusowym. Substancja stosowana jest w skojarzonej terapii przeciwretrowirusowej w leczeniu zakaÅ¼eÅ„ ludzkim wirusem upoÅ›ledzenia odpornoÅ›ci (HIV).,,,,,,,,,,,,,,,,,,,,,,,,,,HIV,
Abcyksymab,Abciximab,,alkohol,,,"osłabienie zdolnosci prowadzenia pojazdow, obsluga maszyn","Abcyksymab ma nieistotny wpÅ‚yw na zdolnoÅ›Ä‡ prowadzenia pojazdÃ³w oraz obsÅ‚ugÄ™ maszyn.Â 
",https://www.doz.pl//leki/w3-Abcyksymab,abcyksymab,"Abcyksymab stosowany jest pomocniczo zÂ heparynÄ… oraz kwasem acetylosalicylowym podczas zabiegÃ³w przezskÃ³rnych naczyÅ„ wieÅ„cowych (angioplastyka balonowa, aterektomia, implantacja stentu) oraz w terapii niestabilnej choroby niedokrwiennej serca.Â ",,,,,,,,,,,,,,,,,,,,,,,,,,niestabilna choroba niedokrwiennej serca,
Abirateron,Abiraterone,,dziurawiec,,,osłabienie zdolnosci prowadzenia pojazdow,"Zaobserwowano, Å¼e jedzenie znaczÄ…co zwiÄ™ksza wchÅ‚anianie substancji czynnej. Ze wzglÄ™du na to, Å¼e nie ma danych klinicznych dotyczÄ…cych bezpieczeÅ„stwa stosowania abirateronu z poÅ¼ywieniem, Å‚Ä…czne stosowanie jest przeciwwskazane.
ÅÄ…czne stosowanie abirateronu z dziurawcem zwyczajnymÂ â€“ silnym induktorem CYP3A4Â â€“ moÅ¼e skutkowaÄ‡ zmniejszeniem Å›redniego AUCÂ substancji czynnej w osoczu nawet o poÅ‚owÄ™.
",https://www.doz.pl//leki/w4-Abirateron,abirateron,"Abirateron jest stosowany w poÅ‚Ä…czeniu z prednizolonem lub prednizonem w leczeniu raka gruczoÅ‚u krokowego, opornego na kastracjÄ™. Substancja czynna stosowana jest u dorosÅ‚ych mÄ™Å¼czyzn, u ktÃ³rych wystÄ™pujÄ… przerzuty, a mimo chemioterapiiÂ zawierajÄ…cejÂ docetaksel, choroba postÄ™puje. Abirateron wskazany jest rÃ³wnieÅ¼ u pacjentÃ³w, u ktÃ³rych zastosowanie chemioterapii nie jest jeszcze wskazane, a wykorzystanieÂ terapii supresji androgenowej nie przyniosÅ‚o oczekiwanych rezultatÃ³w.Â ",,,,,,,,,,,,,,,,,,,,,,,,,,rak gruczołu krokowego,
Acebutolol,Acebutolol,trichloroetylen,,,,,"Acebutolol nie ma znanych interakcji z poÅ¼ywieniem, a nawet zalecane jest jego przyjmowanie w trakcie posiÅ‚ku.
StosujÄ…c acebutolol powinno sie zachowaÄ‡ ostroÅ¼noÅ›c przy podawaniu Å›rodkÃ³w znieczulajÄ…cych (eter, cyklopropan i trichloroetylen),ktÃ³re wywoÅ‚ujÄ… depresjÄ™ miÄ™Å›nia sercowego.
",https://www.doz.pl//leki/w5-Acebutolol,acebutolol,"Acebutolol jest stosowany w monoterapii i terapii skojarzonej w nadciÅ›nieniu tÄ™tniczym. Podawany jest takÅ¼e pacjentom z chorobÄ… wieÅ„cowÄ…, a takÅ¼e przy przewlekÅ‚ym leczeniu nadkomorowych i komorowych zaburzeÅ„ rytmu serca.",,,,,,,,,,,,,,,,,,,,,,,,,,nadcisnienie tetnicze,
Aceklofenak,Aceclofenac,etanol,alkohol,,,,"NLPZ nie naleÅ¼y Å‚Ä…czyÄ‡ z alkoholem z powodu niebezpieczeÅ„stwa uszkodzenia bÅ‚ony Å›luzowej Å¼oÅ‚Ä…dka .
",https://www.doz.pl//leki/w6-Aceklofenak,aceklofenak,Aceklofenak to substancja o dziaÅ‚aniu przeciwbÃ³lowym i przeciwzapalnym. NaleÅ¼y do grupy lekÃ³w nazywanych niesteroidowymi lekami przeciwzapalnymi (NLPZ).Â ,,,,,,,,,,,,,,,,,,,,,,,,,,stany zapalne,
Acemetacyna,Acemetacin,etanol,alkohol,,,,"Zalecane jest przyjmowanie acemetacyny wraz z posiÅ‚kiem.
NaleÅ¼y zachowaÄ‡ szczegÃ³lnÄ… ostroÅ¼noÅ›Ä‡ spoÅ¼ywajÄ…c alkohol podczas stosowania acemetacyny, ze wzglÄ™du na zwiÄ™kszone ryzyko dziaÅ‚aÅ„ niepoÅ¼Ä…danych, a w szczegÃ³lnoÅ›ci utajonych krwotokÃ³w w przewodzie pokarmowym.Â 
Å»eÅ„-szeÅ„ nasila dziaÅ‚anie przeciwzakrzepowe acemetacyny, wydÅ‚uÅ¼a czas krwawienia oraz zwiÄ™ksza ryzyko nagÅ‚ych krwotokÃ³w.Â 
",https://www.doz.pl//leki/w7-Acemetacyna,acemetacyna,"Acemetacyna stosowana jest w schorzeniach ukÅ‚adu kostno-stawowego takich jak: choroba zwyrodnieniowa stawÃ³w, bÃ³le okolicy lÄ™dÅºwiowo-krzyÅ¼owej, reumatoidalne zapalenie stawÃ³w (RZS), zesztywniajÄ…ce zapalenie stawÃ³w krÄ™gosÅ‚upa, silne napady dny moczanowej. AcemetacynÄ™ stosuje siÄ™ rÃ³wnieÅ¼ w terapii bÃ³lu pooperacyjnego.Â ",,,,,,,,,,,,,,,,,,,,,,,,,,"reumatoidalne zapalenie stawow, zesztywniajace zapalenie kregosłupa",
Acenokumarol,Acenocoumarol,,warzywa lisciaste,,,,"PrzyjmujÄ…c acenokumarol naleÅ¼y ograniczyÄ‡ produkty bogate w witaminÄ™ K, do ktÃ³rych naleÅ¼Ä… warzywa liÅ›ciaste (kapusta, brokuÅ‚y, saÅ‚ata), a takÅ¼e preparaty sojowe, wÄ…troba, czy zielona herbata. Takie poÅ‚Ä…czenie moÅ¼e prowadziÄ‡ do osÅ‚abienia dziaÅ‚ania leku.
Picie soku z Å¼urawiny znacznie nasila dziaÅ‚anie przeciwzakrzepowe acenokumarolu. Nie ma konkretnych badaÅ„ potwierdzajÄ…cych ryzyko interakcji po spoÅ¼yciu Å¼urawiny w postaci kapsuÅ‚ek/koncentratu. Wzmocnienie efektu przeciwzakrzepowego powoduje rÃ³wnieÅ¼ czosnek. Zaleca siÄ™ powstrzymanie od stosowania czosnku oraz Å¼urawiny (w kaÅ¼dej postaci)Â podczas leczenia acenokumarolem, ze wzglÄ™du na zagroÅ¼enie ciÄ™Å¼kimi krwawieniami.
Alkohol moÅ¼e nasilaÄ‡ dziaÅ‚ania niepoÅ¼Ä…dane acenokumarolu, dlatego naleÅ¼y unikaÄ‡ spoÅ¼ywania alkoholu podczas leczenia.
Substancje zawarte w dymie tytoniowym zwiÄ™kszajÄ… aktywnoÅ›Ä‡ enzymu CYP1A2, ktÃ³ry uczestniczy w metabolizmie acenokumarolu. W zwiÄ…zku z tym osoby, ktÃ³re zaprzestaÅ‚y palenia tytoniu mogÄ… wymagaÄ‡ zmiany dawkowania leku.
",https://www.doz.pl//leki/w8-Acenokumarol,acenokumarol,"Acenokumarol to lek przeciwzakrzepowy z grupy antagonistÃ³w witaminy K, ktÃ³ry zapobiega tworzeniu siÄ™ skrzepÃ³w w naczyniach krwionoÅ›nych. Jest wykorzystywany w profilaktyce i leczeniu powikÅ‚aÅ„ zakrzepowo-zatorowych. Dotyczy to zakrzepicy Å¼yÅ‚ gÅ‚Ä™bokich, zatorowoÅ›ci pÅ‚ucnej, leczenia zatorÃ³w tÄ™tniczych, zapobieganiu udarom niedokrwiennym wÅ›rÃ³d pacjentÃ³w ze stwierdzonym migotaniem przedsionkÃ³w oraz zapobieganiu powikÅ‚aniom po wszczepieniu zastawki serca. Leczenie przeciwzakrzepowe wprowadza siÄ™ rÃ³wnieÅ¼ w grupie pacjentÃ³w ze skrzeplinami wewnÄ…trzsercowymi i wadami zastawkowymi.",,,,,,,,,,,,,,,,,,,,,,,,"zakrzepica, zakrzepica zył głebokich, zatorowosc płucna,",,zakrzepica,
Acetazolamid,Acetazolamide,,,,,,"W trakcie leczenia acetazolamidem nie naleÅ¼y prowadziÄ‡ pojazdÃ³w i obsÅ‚ugiwaÄ‡ maszyn, poniewaÅ¼ moÅ¼e on powodowaÄ‡ dziaÅ‚ania niepoÅ¼Ä…dane, takie jak zawroty gÅ‚owy, sennoÅ›Ä‡, czy dezorientacja.
Acetazolamid moÅ¼e wpÅ‚ywaÄ‡ na wyniki niektÃ³rych badaÅ„ laboratoryjnych.
",https://www.doz.pl//leki/w9-Acetazolamid,acetazolamid,Acetazolamid jest inhibitorem anhydrazy wÄ™glanowej o dziaÅ‚aniu moczopÄ™dnym.,,,,,,,,,,,,,,,,,,,,,,,,,,problemy z moczem,
Acetylocysteina,Acetylcysteine,,alkohol,,,,"Nie stwierdzono interakcji z alkoholem, jednak ze wzglÄ™du na ryzyko podraÅ¼nienia bÅ‚ony Å›luzowej Å¼oÅ‚Ä…dka jednoczesne stosowanie nie jest zalecane.
Acetylocysteina moÅ¼e zaburzaÄ‡ wyniki niektÃ³ry badaÅ„ laboratoryjnych takich jak:
",https://www.doz.pl//leki/w10-Acetylocysteina,acetylocysteina,"Acetylocysteina jest wykorzystywana ze wzglÄ™du na zdolnoÅ›Ä‡ upÅ‚ynnienia zalegajÄ…cej w drogach oddechowych trudnej do odkrztuszenia wydzieliny.
Lek jest stosowany pomocniczo w przebiegu zapalenia oskrzeli, przeziÄ™bienia, a takÅ¼eÂ  mukowiscydozy.

Acetylocysteina jest rÃ³wnieÅ¼ wykorzystywana jako odtrutka podczas zatrucia paracetamolem.",,,,,,,,,,,,,,,,,,,,,,,,,,"zapalenie oskrzeli
",
Acyklowir,Acyclovir,,,zaburzenia funkcji nerek,,,"Podczas terapii czÄ…steczkÄ… naleÅ¼y piÄ‡ duÅ¼o pÅ‚ynÃ³w i dbaÄ‡ o odpowiednie nawodnienie, aby nie doprowadziÄ‡ do pojawienia siÄ™ zaburzeÅ„ funkcji nerek oraz innych dziaÅ‚aÅ„ niepoÅ¼Ä…danych acyklowiru.
",https://www.doz.pl//leki/w1385-Acyklowir,"acyklowir, sol sodowa acyklowiru","Acyklowir jest lekiem przeciwwirusowym. ZwiÄ…zek stosuje siÄ™ w zakaÅ¼eniach wirusowych ostrych lub przewlekÅ‚ych, nawrotowych, takÅ¼e u osÃ³b z niedoborami odpornoÅ›ci, spowodowanych wirusem opryszczki (Herpex), ktÃ³ry wywoÅ‚uje:",,,,,,,,,,,,,,,,,,,,,,,,,,opryszczka,
